Назва,мiсто/район,Зібрана площа -га,Зібрана площа -% вiд 2018р.,Валовий збір у масі після доробки -ц,Валовий збір у масі після доробки - % вiд 2018р.,"Урожайність
з 1 га зібраної площі - ц","Урожайність
з 1 га зібраної площі - % до 2018р."
,,,,,,,
м.Балта,мiсто,1127,91.3,23820,95.8,21.1,105
м.Білгород-Дністровський,мiсто,2372,79.6,19534,38.6,8.2,48.2
м.Біляївка,мiсто,727,60.4,8689,46.4,11.9,76.8
м.Ізмаїл,мiсто,,,,,,
М.Подільськ,мiсто,,,,,,
Ананьївський,район,11439,105.1,285365,116.8,24.9,110.7
Арцизький,район,13387,110.5,231094,68.8,17.3,62.5
Балтський,район,14479,135.4,375914,148.4,26,109.7
Білгород-Дністровський,район,10788,91.5,118888,53.4,11,58.2
Біляївський,район,8813,94.5,129581,65.5,14.7,69.3
Березівський,район,19920,86.7,432967,101.9,21.7,117.3
Болградський,район,10908,81.6,144759,59.9,13.3,73.5
Великомихайлівський,район,13490,95,295971,96.7,21.9,101.9
Іванівський,район,14051,91.6,207782,85.3,14.8,93.1
Ізмаїльський,район,8903,86.8,122653,60.9,13.8,70.4
Кілійський,район,5292,96.7,51199,48.8,9.7,50.8
Кодимський,район,5915,82.4,164342,91.1,27.8,110.8
Лиманський,район,12988,74.7,173301,63.9,13.3,85.3
Подільський,район,9490,85.7,260106,89.1,27.4,104.2
Окнянський,район,7076,89.1,210646,111.7,29.8,125.2
Любашівський,район,9927,59.8,202661,51.1,20.4,85.4
Миколаївський,район,8906,45.6,195567,36.5,22,80
Овідіопольський,район,6214,73,68335,38.1,11,52.4
Роздільнянський,район,14679,111.5,203111,83.3,13.8,74.6
Ренійський,район,6662,124.5,91471,81.9,13.7,65.6
Савранський,район,7229,104.1,199442,107.9,27.6,103.8
Саратський,район,12825,71.3,181236,40.4,14.1,56.6
Тарутинський,район,19682,110.1,377099,91.1,19.2,82.8
Татарбунарський,район,6213,45.9,54165,14.8,8.7,32.1
Захарівський,район,7232,89.3,134210,92.7,18.6,103.9
Ширяївський,район,15302,80.8,277174,78.5,18.1,96.8
